Rank,Player,GP,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF
90,Kevin Seraphin (WAS),79,9.2,20,46.10%,0,0,0.00%,1.7,2.5,69.30%,3,6.7,9.7,1.6,0.7,1.6,3.6,5.9,20.1,18.5
91,Tyler Hansbrough (IND),81,6.2,14.3,43.20%,0,0.1,0.00%,7.6,10.5,72.00%,5.7,7.4,13.1,1.3,1,0.6,2.7,5.3,20,22.2
92,Patrick Patterson (SAC),71,8.6,16.8,51.20%,1.4,3.6,38.60%,1.3,1.7,76.20%,3.1,6.1,9.1,2.2,0.8,1.1,1.6,3.7,19.9,22.9
93,Jeremy Lin (HOU),82,7.2,16.3,44.10%,1.6,4.7,33.90%,3.9,5,78.50%,0.6,3.9,4.5,9,2.4,0.5,4.3,3.7,19.9,21.9
94,Toney Douglas (SAC),71,7,17.4,40.30%,3.1,8,38.00%,2.8,3.1,90.50%,1.3,3.9,5.1,5.6,2.6,0.1,3,5.4,19.9,19.8
95,Eric Bledsoe (LAC),76,7.8,17.6,44.50%,1,2.4,39.70%,3.3,4.1,79.10%,2.4,4.5,7,7.2,3.4,1.7,4.2,3.5,19.9,24.3
96,Roy Hibbert (IND),79,8.1,18.2,44.80%,0,0.1,25.00%,3.5,4.7,74.10%,6.3,7.6,13.9,2.4,0.8,4.4,3.4,5.9,19.8,26.6
97,George Hill (IND),76,7.1,16,44.30%,2.4,6.5,36.80%,3.2,3.9,81.70%,0.9,4.3,5.2,6.5,1.5,0.5,2.1,2.5,19.7,21.7
98,Kenneth Faried (DEN),80,8.1,14.7,55.20%,0,0,0.00%,3.5,5.7,61.30%,5.6,10.1,15.7,1.6,1.7,1.8,2.4,5,19.7,29.3
99,Raymond Felton (NYK),68,7.8,18.3,42.70%,1.9,5.4,36.00%,2.1,2.7,78.90%,1.1,3,4,7.7,1.9,0.3,3.2,2.7,19.7,19.4
100,Darren Collison (DAL),81,6.9,14.7,47.10%,1,2.8,35.30%,4.9,5.6,88.00%,0.6,3.8,4.4,8.4,2,0.2,3.5,2.8,19.7,22.8
101,Dorell Wright (PHI),79,6.4,16.1,39.60%,3.6,9.7,37.40%,3.2,3.8,85.10%,1.1,7,8.1,4,1.7,0.9,1.7,2.6,19.6,22.4
102,Derrick Favors (UTA),77,7.4,15.3,48.20%,0,0.1,0.00%,4.8,7,68.80%,4.9,9.7,14.7,2,1.8,3.5,3.5,6.6,19.5,28
103,Spencer Hawes (PHI),82,8.1,17.4,46.40%,0.7,1.9,35.60%,2.6,3.4,77.70%,3.7,9,12.7,3.9,0.5,2.4,2.8,5,19.5,26.1
104,Mike Dunleavy (MIL),75,6.8,15.4,44.20%,3.2,7.4,42.80%,2.6,3.2,82.00%,0.8,6.4,7.2,3.6,1,0.9,2.2,3.3,19.4,20.6
105,Shawn Marion (DAL),67,8.5,16.5,51.40%,0.5,1.7,31.50%,1.9,2.4,78.20%,3.5,9.1,12.5,3.9,1.8,1.1,2.5,2.6,19.4,27.7
106,Rodney Stuckey (DET),76,6.7,16.5,40.60%,1.2,4,30.20%,4.7,6,78.30%,1,3.7,4.7,6,1.1,0.4,3,2.8,19.4,17.4
107,Greivis Vasquez (NOH),78,7.8,18.1,43.30%,1.5,4.3,34.20%,2.2,2.8,80.50%,0.8,5.3,6,12.6,1.2,0.1,4.4,3.4,19.4,24
108,Marc Gasol (MEM),80,7.4,14.9,49.40%,0,0.2,7.10%,4.6,5.4,84.80%,3.2,7.5,10.7,5.5,1.4,2.4,2.7,4.4,19.3,28.2
109,Matt Barnes (LAC),80,7.3,15.7,46.20%,2.6,7.6,34.20%,2,2.7,74.40%,2.6,5.9,8.5,2.9,1.9,1.5,2.1,5.4,19.2,22.7
110,Jared Dudley (PHX),79,6.9,14.8,46.80%,2.3,6,39.10%,2.9,3.6,79.60%,1.7,3.7,5.4,4.5,1.7,0.2,2.2,2.8,19,20
111,Martell Webster (WAS),76,6.1,13.9,44.20%,3,7.2,42.20%,3.7,4.3,84.80%,1.2,5.3,6.4,3.1,1.1,0.4,2,3.6,19,19.6
112,Nikola Vucevic (ORL),77,8.6,16.7,51.90%,0,0.1,0.00%,1.6,2.4,68.30%,5.1,12.1,17.2,2.7,1.1,1.5,2.6,4.1,18.9,30
113,Jerryd Bayless (MEM),80,7.1,16.9,41.90%,1.9,5.5,35.30%,2.8,3.3,83.60%,0.6,4.2,4.8,7.2,1.6,0.5,3.3,4.6,18.8,19.3
114,Randy Foye (UTA),82,6.3,15.8,39.70%,3.8,9.3,41.00%,2.5,3.1,81.90%,0.4,2.3,2.7,3.6,1.4,0.6,2,4.1,18.8,15.1
115,Kyle Lowry (TOR),68,5.9,14.8,40.10%,2.4,6.6,36.20%,4.5,5.7,79.50%,1.3,6.3,7.6,10.3,2.2,0.6,3.7,5.2,18.8,25.8
116,Marcus Morris (PHX),77,7,16.6,42.20%,2.7,7.3,36.90%,2.1,3.7,56.40%,2.5,6.2,8.7,2,1.4,0.6,2.4,5,18.8,17.9
117,Jason Thompson (SAC),82,7.9,15.6,50.20%,0,0.1,0.00%,3,4.3,69.40%,3.6,7.9,11.5,1.8,1,1.3,2.1,4.8,18.7,23.1
118,Andrei Kirilenko (MIN),64,6.7,13.2,50.70%,0.8,2.8,29.20%,4.4,5.9,75.20%,2.4,6.1,8.5,4.2,2.3,1.5,2.8,1.9,18.7,24.3
119,Jose Calderon (DET),73,6.9,14.1,49.10%,2.9,6.3,46.10%,1.6,1.8,90.00%,0.4,3.5,3.9,11.5,1.3,0.2,2.8,2.2,18.4,25.1
120,Ed Davis (MEM),81,7.7,14.2,53.90%,0,0,0.00%,3,4.9,61.70%,4.5,9.1,13.5,1.9,1.1,2.5,1.9,5.6,18.3,27.1
121,Danny Green (SAS),80,6.5,14.5,44.80%,3.9,9,42.90%,1.5,1.7,84.80%,0.8,4.5,5.3,3.1,2,1.2,2,2.7,18.3,19.6
122,Luke Ridnour (MIN),82,7.1,15.7,45.30%,1.3,4.1,31.10%,2.7,3.2,84.80%,0.8,3.2,4,6,1.6,0.3,2.5,3.6,18.2,18.5
123,Greg Smith (HOU),70,7.4,11.8,62.00%,0,0,0.00%,3.5,5.6,62.30%,4.8,9.1,13.9,1.1,0.8,1.7,1.8,7.6,18.2,27.3
124,Willie Green (LAC),72,7.2,15.6,46.10%,2.9,6.7,42.80%,0.9,1.3,71.90%,0.7,3.2,3.9,2.2,1.2,0.5,1.3,3.9,18.2,16
125,Evan Turner (PHI),82,7.3,17.5,41.90%,1,2.6,36.50%,2.6,3.5,74.00%,0.9,7.7,8.6,5.9,1.2,0.3,3.1,3.3,18.2,19.9
126,Terrence Ross (TOR),73,7.2,17.7,40.70%,2.5,7.6,33.20%,1.2,1.6,71.40%,1.4,4.2,5.6,2.1,1.7,0.5,1.9,4.7,18.1,15.1
