Rank,Player,GP,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
42,Zach Randolph (MEM),76,34.3,6.2,13.5,46.00%,0,0.3,8.70%,3,3.9,75.00%,4.1,7.2,11.2,1.4,0.8,0.4,2,15.4,19
43,O.J. Mayo (DAL),82,35.5,5.6,12.5,44.90%,1.7,4.3,40.70%,2.3,2.8,82.00%,0.4,3.1,3.5,4.4,1.1,0.3,2.6,15.3,14.7
44,Thaddeus Young (PHI),76,34.6,6.7,12.6,53.10%,0,0.1,12.50%,1.4,2.5,57.40%,2.4,5.1,7.5,1.6,1.8,0.7,1.2,14.8,18.3
45,Goran Dragic (PHX),77,33.5,5.2,11.8,44.30%,1.1,3.6,31.90%,3.2,4.2,74.80%,0.8,2.3,3.1,7.4,1.6,0.3,2.8,14.7,16.8
46,Mike Conley (MEM),80,34.5,5.2,11.8,44.00%,1.3,3.7,36.20%,2.9,3.5,83.00%,0.5,2.3,2.8,6.1,2.2,0.3,2.4,14.6,16.4
47,Jeff Teague (ATL),80,32.9,5.5,12.2,45.10%,1.1,3.1,35.90%,2.5,2.8,88.10%,0.3,1.9,2.3,7.2,1.5,0.3,2.9,14.6,16
48,Paul Millsap (UTA),78,30.4,5.5,11.2,49.00%,0.2,0.5,33.30%,3.4,4.6,74.20%,2.3,4.8,7.1,2.6,1.3,1,1.8,14.6,17.9
49,Nicolas Batum (POR),73,38.5,4.8,11.4,42.30%,2.3,6.1,37.20%,2.4,2.9,84.80%,1.3,4.3,5.6,4.9,1.3,1.1,2.6,14.3,17.7
50,George Hill (IND),76,34.5,5.1,11.5,44.30%,1.7,4.6,36.80%,2.3,2.8,81.70%,0.6,3.1,3.7,4.7,1.1,0.3,1.5,14.2,15.6
51,Gordon Hayward (UTA),72,29.2,4.7,10.7,43.50%,1.4,3.4,41.50%,3.4,4.1,82.70%,0.7,2.4,3.1,3,0.8,0.5,1.7,14.1,13.1
52,JJ Redick (MIL),78,30.5,4.9,11.3,43.40%,2.1,5.8,36.60%,2.2,2.4,90.00%,0.2,2,2.2,3.8,0.5,0.1,1.8,14.1,12.3
53,Marc Gasol (MEM),80,35,5.4,10.9,49.40%,0,0.2,7.10%,3.4,4,84.80%,2.3,5.5,7.8,4,1,1.7,2,14.1,20.5
54,Kevin Martin (OKC),77,27.7,4.5,10.1,45.00%,2.1,4.8,42.60%,2.8,3.2,89.00%,0.4,1.9,2.3,1.4,0.9,0.1,1.3,14,11.5
55,Isaiah Thomas (SAC),79,26.9,4.6,10.5,44.00%,1.5,4.1,35.80%,3.2,3.6,88.20%,0.4,1.7,2,4,0.8,0,1.8,13.9,12.7
56,Greivis Vasquez (NOH),78,34.4,5.6,13,43.30%,1.1,3.1,34.20%,1.6,2,80.50%,0.6,3.8,4.3,9,0.8,0.1,3.2,13.9,17.2
57,Vince Carter (DAL),81,25.8,4.6,10.6,43.50%,2,4.9,40.60%,2.2,2.8,81.60%,0.7,3.4,4.1,2.4,0.9,0.5,1.3,13.4,13.6
58,Jeremy Lin (HOU),82,32.2,4.8,10.9,44.10%,1.1,3.1,33.90%,2.6,3.4,78.50%,0.4,2.6,3,6.1,1.6,0.3,2.9,13.4,14.7
59,Evan Turner (PHI),82,35.3,5.4,12.8,41.90%,0.7,1.9,36.50%,1.9,2.5,74.00%,0.7,5.6,6.3,4.3,0.9,0.2,2.3,13.3,14.6
60,Brandon Knight (DET),75,31.5,4.8,11.7,40.70%,1.6,4.4,36.70%,2.2,3,73.30%,0.7,2.6,3.3,4,0.8,0.1,2.7,13.3,11.1
61,Serge Ibaka (OKC),80,31.1,5.6,9.7,57.30%,0.3,0.7,35.10%,1.8,2.4,74.90%,2.8,4.9,7.7,0.5,0.3,3,1.6,13.2,18.5
62,Ersan Ilyasova (MIL),73,27.6,5.1,11,46.20%,1.3,2.9,44.40%,1.7,2.2,79.60%,2.1,5,7.1,1.6,0.9,0.5,1,13.2,15.9
63,Nate Robinson (CHI),82,25.4,4.9,11.2,43.30%,1.7,4.2,40.50%,1.6,2.1,79.90%,0.4,1.9,2.2,4.4,1,0.1,1.8,13.1,12.3
64,Nikola Vucevic (ORL),77,33.2,6,11.5,51.90%,0,0,0.00%,1.1,1.6,68.30%,3.5,8.4,11.9,1.9,0.8,1,1.8,13.1,20.8
65,Andre Iguodala (DEN),80,34.7,5,11,45.10%,1.1,3.6,31.70%,1.9,3.4,57.40%,1,4.3,5.3,5.4,1.7,0.7,2.6,13,16
66,Jarrett Jack (GSW),79,29.7,4.9,10.8,45.20%,1,2.6,40.40%,2.1,2.5,84.30%,0.3,2.8,3.1,5.6,0.8,0.1,2,12.9,14.2
67,Jeff Green (BOS),81,27.8,4.6,10,46.70%,0.9,2.2,38.50%,2.6,3.3,80.80%,0.7,3.2,3.9,1.6,0.7,0.8,1.6,12.8,12.3
68,Luis Scola (PHX),82,26.6,5.3,11.2,47.20%,0,0.2,18.80%,2.2,2.8,78.70%,1.9,4.7,6.6,2.2,0.8,0.4,1.5,12.8,14.8
69,JJ Hickson (POR),80,29,5.2,9.3,56.20%,0,0,0.00%,2.3,3.4,67.90%,3.3,7,10.3,1.1,0.6,0.6,1.8,12.7,18.5
